target,xmid,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
y,8.0,0.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.32996235350196035,0.07860354073426729,0.18988588268300174,0.3299623535019618,0.07860354073426748,0.1898858826830026,0.32996235350196124,0.07860354073426688,0.18988588268300205,-3.590095859027362e-15,-2.8830922865566222e-15,-3.2817791649529354e-15,3
y,8.0,1.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426751454282e-5,2.635992579106475,0.32996235349502545,0.07860354076585108,0.18988588265434653,0.32996235349502634,0.07860354076585138,0.18988588265434692,0.32996235349502634,0.07860354076585138,0.18988588265434692,-2.693776997740579e-15,-3.8871082024245605e-15,-2.0479125734568844e-15,3
y,8.0,2.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107425646298443e-5,2.635992579106475,0.32996235172659827,0.07860354881988138,0.18988587534731266,0.3299623517265995,0.07860354881988166,0.18988587534731216,0.3299623517265995,0.07860354881988166,0.18988587534731216,-3.7039433917445124e-15,-3.5337343673964454e-15,-2.63303055290956e-15,3
y,8.0,3.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107398320848524e-5,2.635992579106475,0.32996230800136994,0.07860374795974465,0.18988569467727182,0.3299623080013687,0.07860374795974479,0.1898856946772707,0.3299623080013687,0.07860374795974479,0.1898856946772707,-3.7039438825756365e-15,-1.7668627074016275e-15,-5.851184573671538e-15,3
y,8.0,4.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107142733637967e-5,2.635992579106475,0.3299618990088363,0.07860561065321257,0.18988400474456074,0.3299618990088369,0.07860561065321223,0.18988400474456002,0.3299618990088369,0.07860561065321223,0.18988400474456002,-1.6836129425761407e-15,-4.417052096471231e-15,-3.803303821289608e-15,3
y,8.0,5.0,4.900749719809166e-7,2.7338159268322533e-7,1.1105734066553878e-5,2.635992579106475,0.32995964449911686,0.07861587845927812,0.18987468924507073,0.3299596444991171,0.07861587845927837,0.1898746892450696,0.3299596444991171,0.07861587845927837,0.1898746892450696,-6.734497784680031e-16,-3.179862142063517e-15,-5.997811810362372e-15,3
y,8.0,6.0,4.900749719809166e-7,2.7338159268322533e-7,1.1100152160068603e-5,2.635992579106475,0.3299507050687255,0.07865659148914962,0.18983775205268172,0.32995070506872587,0.0786565914891493,0.1898377520526812,0.32995070506872587,0.0786565914891493,0.1898377520526812,-1.1785690426962326e-15,-4.061054071836102e-15,-2.7800145747375286e-15,3
y,8.0,7.0,4.900749719809166e-7,2.7338159268322533e-7,1.1082498497906277e-5,2.635992579106475,0.32992237123100776,0.07878563091566836,0.18972067832773307,0.32992237123100887,0.07878563091566865,0.1897206783277334,0.32992237123100887,0.07878563091566865,0.1897206783277334,-3.367629310225247e-15,-3.701845902199208e-15,-1.7568821552555206e-15,3
y,8.0,8.0,4.900749719809166e-7,2.7338159268322533e-7,1.1035188115245342e-5,2.635992579106475,0.32984597517164516,0.07913354303855148,0.18940501437388932,0.32984597517164366,0.07913354303855116,0.18940501437388893,0.32984597517164366,0.07913354303855116,0.18940501437388893,-4.5473525432160285e-15,-4.036577396618574e-15,-2.05311188774632e-15,3
y,8.0,9.0,4.900749719809166e-7,2.7338159268322533e-7,1.0923946404152655e-5,2.635992579106475,0.329663638416415,0.07996382828756543,0.18865160979301282,0.32966363841641433,0.07996382828756544,0.18865160979301324,0.32966363841641433,0.07996382828756544,0.18865160979301324,-2.0221634138244717e-15,-1.736810679356457e-16,-2.208547773609511e-15,3
