target,xmid,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,1.0,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
y,1.0,1.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.553713377894113e-6,2.635992579106475,0.3121902237679385,0.16257071060014186,0.11384110086933653,0.3108122701768022,0.16150190286162375,0.1134017388078758,3
y,1.0,2.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,3.365886895693402e-7,2.635992579106475,0.8276181363853616,1.1414496930793817e-7,5.275451493141104e-10,0.8262011205678291,0.0,0.0,1
y,1.0,3.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.552224080241077e-8,2.635992579106475,0.8278363999551098,0.0,0.0,0.8262024945594569,0.0,0.0,1
y,1.0,4.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.0836513908086075e-8,2.635992579106475,0.826699690834039,0.0,0.0,0.8261925597325174,0.0,0.0,1
y,1.0,5.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,3.553239525204167e-9,2.635992579106475,0.8266602549556642,0.0,0.0,0.8261927116201877,0.0,0.0,1
y,1.0,6.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.4282405497991804e-9,2.635992579106475,0.8280034960425428,0.0,0.0,0.8261884050961819,0.0,0.0,1
y,1.0,7.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.608416680026312e-10,2.635992579106475,0.8263412965573163,0.0,0.0,0.8257908471237257,0.0,0.0,1
y,1.0,8.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,3.3896141950588134e-10,2.635992579106475,0.8263442254501081,0.0,0.0,0.8258181027821584,0.0,0.0,1
y,1.0,9.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.8810206191004617e-10,2.635992579106475,0.8263442411823195,0.0,0.0,0.825817254011851,0.0,0.0,1
